Study_ID	ITRDB_Code	Study_Name	Latitude	Longitude	Elevation	Species	FirstYear	LastYear
2934	MORC008	Chbouki - Jaffar - CDAT - ITRDB MORC008	32.55	-4.9	2200	CDAT	1366	1987
2930	MORC009	Chbouki - AmmiHsain - CDAT - ITRDB MORC009	32.48	-5.48	2150	CDAT	1300	1987
2931	MORC010	Chbouki - Boulzane - CDAT - ITRDB MORC010	32.47	-5.35	2200	CDAT	1281	1987
2933	MORC011	Chbouki - Ifrane - CDAT - ITRDB MORC011	33.45	-5.03	1900	CDAT	1549	1984
2938	MORC012	Chbouki - Tissouka - CDAT - ITRDB MORC012	35.12	-5.1	1700	CDAT	1748	1984
2937	MORC013	Chbouki - Tazzeka - CDAT - ITRDB MORC013	34.08	-4.18	1900	CDAT	1845	1984
4970	MORC014	Stockton - Col du Zad - CDAT - ITRDB MORC014	33.02	-5.07	2200	CDAT	984	1984
9642	MORC015	Touchan - Addeldal - PIPI - ITRDB MORC015	35.083	-5.466	900	PIPI	1843	2004
9720	MORC016	Touchan - Tizi u Treten - CDAT - ITRDB MORC016	32.4667	-5.0167	1900	CDAT	1490	2003
9722	MORC017	Touchan - Tadlounte Recollection - CDAT - ITRDB MORC017	32.38	-5.6	2200	CDAT	1696	2004
13889	MORC018	Esper - Atlas Mountains CO - CDAT - ITRDB MORC018	32.9667	-5.0667	2200	CDAT	977	2001
13890	MORC019	Esper - Atlas Mountains CS - CDAT - ITRDB MORC019	32.9667	-5.0667	2200	CDAT	1776	2001
13891	MORC020	Esper - Atlas Mountains IS - CDAT - ITRDB MORC020	33.4	-5.1667	1830	CDAT	1784	2001
13892	MORC021	Esper - Atlas Mountains JF - CDAT - ITRDB MORC021	32.5333	-4.9167	2200	CDAT	1021	2001
16774	MORC022	Esper - Atlas Mountains TO - CDAT - ITRDB MORC022	32.4167	-5.3333	2100	CDAT	1271	2001
16775	MORC023	Esper - Atlas Mountains TZ - CDAT - ITRDB MORC023	33.1	-4.9	2180	CDAT	987	2001
27503	MORC024	Manzanedo - Talasemtanne - PINI - ITRDB MORC024	35.17	-5.21	1850	PINI	1890	2011
27504	MORC025	Gutiérrez - Col du Zad - CDAT - ITRDB MORC025	32.97	-5.07	2200	CDAT	1560	2000
4919	MS001	Stahle - Pearl River - TADI - ITRDB MS001	32.87	-89.13	116	TADI	1546	1983
4917	MS002	Stahle - Pascagoula River - TADI - ITRDB MS002	30.58	-88.02	3	TADI	1466	1992
22312	MS003	Stahle - Sky Lake - TADI - ITRDB MS003	33.267	-90.5	30	TADI	1238	2010
25730	MS004	Tucker - Grand Bay - PIEL - ITRDB MS004	30.401	-88.413	2	PIEL	1909	2014
3227	MT001	Ferguson - Dell Sheep Creek Administrative Site - PIFL - ITRDB MT001	44.65	-112.77	2195	PIFL	1311	1965
3226	MT002	Ferguson - Dell Sheep Creek - PSME - ITRDB MT002	44.55	-112.8	2084	PSME	1368	1965
3251	MT004	Ferguson - Springdale - PIFL - ITRDB MT004	45.72	-110.23	1372	PIFL	1422	1965
3232	MT006	Ferguson - Gardiner - PSME - ITRDB MT006	45	-110.72	1676	PSME	1185	1971
3231	MT007	Ferguson - Gardiner - PIFL - ITRDB MT007	45	-110.72	1676	PIFL	1410	1971
3235	MT100	Ferguson - Helena - PSME - ITRDB MT100	46.72	-111.8	1128	PSME	1565	1965
3238	MT102	Ferguson - Livingston Montana - PSME - ITRDB MT102	45.6	-110.55	1433	PSME	1532	1965
3222	MT103	Ferguson - Butte - PSME - ITRDB MT103	45.83	-112.35	1676	PSME	1688	1965
3250	MT104	Ferguson - Spanish Creek - PSME - ITRDB MT104	45.42	-111.27	1829	PSME	1623	1971
2823	MT105	Briffa - Hododoo Pass SW-Superior - PCEN - ITRDB MT105	47	-115.17	1710	PCEN	1758	1983
2832	MT106	Briffa - Lost Trail Pass - PCEN - ITRDB MT106	45.7	-113.95	2130	PCEN	1785	1983
2852	MT107	Briffa - Skalkaho Pass Bitterroot - PCEN - ITRDB MT107	46.23	-113.77	2160	PCEN	1782	1983
2822	MT108	Briffa - Highland Fire Outlook - PCEN - ITRDB MT108	45.75	-112.53	2730	PCEN	1496	1983
3314	MT109	Graumlich - Grass Mountain #2 - PCEN - ITRDB MT109	45.17	-109.52	3208	PCEN	1660	1999
3716	MT110	King - North Fork Ridge - PSME - ITRDB MT110	45.3	-111.33	2500	PSME	819	2000
3715	MT111	King - North Fork Ridge - PIFL - ITRDB MT111	45.3	-111.33	2500	PIFL	500	2000
3739	MT112	King - Yellow Mountain Ridge 1 - PIFL - ITRDB MT112	45.3	-111.32	2500	PIFL	-77	1998
5212	MT113	Waggoner - Yellow Mountain Ridge 1-Entire Bark Trees - PIFL - ITRDB MT113	45.3	-111.32	2500	PIFL	-77	1998
3740	MT114	King - Yellow Mountain Ridge 2 - PSME - ITRDB MT114	45.3	-111.32	2500	PSME	952	1998
3563	MT115	Hughes - Baker Lake - LALY - ITRDB MT115	45.88	-114.27	2680	LALY	12	1997
3566	MT116	Hughes - Flint Creek Range - LALY - ITRDB MT116	46.28	-113.15	2645	LALY	999	1998
5993	MT117	Bekker - Preston Park - ABLA - ITRDB MT117	48.72	-113.65	2150	ABLA	1766	2006
12695	MT118	Pederson - Bear Mountain Point - PSME - ITRDB MT118	48.9167	-113.75	1672	PSME	1455	2003
12696	MT119	Littell - Pintlers - LALY - ITRDB MT119	46.0167	-113.3667	2700	LALY	1026	2005
12697	MT120	Littell - Pintlers 2 - LALY - ITRDB MT120	46.0167	-113.3833	2750	LALY	1248	2006
12699	MT122	Pederson - Spot Mountain West - PSME - ITRDB MT122	48.5167	-113.3667	1950	PSME	1163	2002
